ID Produto;Nome;Referência;Qtd Inicial;Qtd Atual;Variação Qtd;Valor Inicial;Valor Atual;Variação Valor;Total Movimentações;Data Cálculo
2446;ROLO MAGNETICO(AD031025);AD031266;1.000;1.000;0.000;228.21;228.21;0.00;0;01/03/2025
2461;ROLO INFERIOR DE SEPARACAO  P/5305/15/25/27/29;55076018;7.000;7.000;0.000;424.32;424.32;0.00;0;01/03/2025
2465;ROLO DE EXPULSAO INFEROR 5327;C2243545;1.000;1.000;0.000;93.24;93.24;0.00;0;01/03/2025
2466;ROLO DE EXPULSAO SUPERIOR 5327;C2243541;1.000;1.000;0.000;106.37;106.37;0.00;0;01/03/2025
2468;ROLO SUPERIOR DE SAIDA 5303/5304;C2173532;1.000;1.000;0.000;107.84;107.84;0.00;0;01/03/2025
2478;SAPATA DO CARRO OTICO;A0771668;13.000;13.000;0.000;91.39;91.39;0.00;0;01/03/2025
2482;SELO;A1903166;3.000;3.000;0.000;2.94;2.94;0.00;0;01/03/2025
2500;SELO DA UNIDADE DE LIMPEZA;A1533555;1.000;1.000;0.000;29.50;29.50;0.00;0;01/03/2025
2518;SELO DA TELA DE METAL5306/5308(C2312374 V);C2312582;10.000;10.000;0.000;181.00;181.00;0.00;0;01/03/2025
2520;SELO DA UNIDADE DE LIMPEZA 2613;A0779530;6.000;6.000;0.000;131.06;131.06;0.00;0;01/03/2025
2525;SELO DE ENTRADA 2727;A1533075;1.000;1.000;0.000;29.65;29.65;0.00;0;01/03/2025
2541;SELO P/3235;A2322419;1.000;1.000;0.000;1.09;1.09;0.00;0;01/03/2025
2550;SENSOR;A0105700;3.000;3.000;0.000;106.26;106.26;0.00;0;01/03/2025
2553;SENSOR  DO MASTER;C2138137;5.000;5.000;0.000;179.05;179.05;0.00;0;01/03/2025
2564;SENSOR DE TINTA;C2332493;1.000;1.000;0.000;8.43;8.43;0.00;0;01/03/2025
2574;SENSOR DENSIDADE IMAGEM 2635;AW230008;1.000;1.000;0.000;56.36;56.36;0.00;0;01/03/2025
2583;SENSOR OTICO P/5305 (14030539);AW020041;3.000;3.000;0.000;15.96;15.96;0.00;0;01/03/2025
2634;SUPORTE DO PAPEL;AF017012;1.000;1.000;0.000;7.74;7.74;0.00;0;01/03/2025
2639;SUPORTE DO SENSOR DE TINTA;C2004733;1.000;1.000;0.000;4.87;4.87;0.00;0;01/03/2025
2665;TAMPA BLOC0 CORONA TRASEIRO;A0773892;3.000;3.000;0.000;4.98;4.98;0.00;0;01/03/2025
2669;TAMPA DA ALIMENTACAO DO PAPEL;A1342746;1.000;1.000;0.000;25.76;25.76;0.00;0;01/03/2025
2681;TAMPA DA GARRAFA P/2913Z;A1843420;10.000;10.000;0.000;21.53;21.53;0.00;0;01/03/2025
2687;TAMPA ORIGINAIS 1312/1502/1802/DSM615/618/622;28013;72.000;72.000;0.000;13266.34;13266.34;0.00;0;01/03/2025
2693;TAMPA DE RESERVATORIO;A1343180;1.000;1.000;0.000;7.92;7.92;0.00;0;01/03/2025
2713;TAMPA FRONTAL 2635;A1531277;1.000;1.000;0.000;160.09;160.09;0.00;0;01/03/2025
2749;TELA DE ACO P/5385;C2184801;1.000;1.000;0.000;903.87;903.87;0.00;0;01/03/2025
2754;TELA DE MYLAR 5303;C2174537;5.000;5.000;0.000;34.99;34.99;0.00;0;01/03/2025
2755;TELA DE MYLAR 5303/5304;C2174532;3.000;3.000;0.000;51.28;51.28;0.00;0;01/03/2025
2823;TERMISTOR P/2613Z 2713;AW100028;4.000;4.000;0.000;123.75;123.75;0.00;0;01/03/2025
2830;TERMOFUSE-169 P/2635;A1535266;1.000;1.000;0.000;9.61;9.61;0.00;0;01/03/2025
2835;TERMOFUSIVEL 128C 2713(A0771674);A1521674;3.000;3.000;0.000;51.79;51.79;0.00;0;01/03/2025
2842;THERMISTOR 1502 MARCA RICOH.;AW100073;81.000;81.000;0.000;1298.05;1298.05;0.00;0;01/03/2025
2847;TINTA AZUL COPYPRINTER 5450.GESTETNER;1782;1.000;1.000;0.000;59.40;59.40;0.00;0;01/03/2025
2857;TINTA PRETA CPI10-6123L JP7 CP(1X500CC)GESTETNER;817219;156.000;156.000;0.000;5158.55;5158.55;0.00;0;01/03/2025
2867;CARTUCHO DE TONER TIPO 1140D 1502/1802/1312;21151;301.000;301.000;0.000;18186.51;18186.51;0.00;0;01/03/2025
2882;TONER 3222/27.GESTETNER;21221;2.000;2.000;0.000;197.50;197.50;0.00;0;01/03/2025
2935;UNHA DE SEPARACAO 2818/2913;A1844072;6.000;6.000;0.000;35.31;35.31;0.00;0;01/03/2025
2939;UNHA DE SEPARACAO DO CILINDRO-1502;B0392335;1.000;1.000;0.000;39.49;39.49;0.00;0;01/03/2025
2943;UNHA FUSAO 2740/3265/3370/3285;A0969500;18.000;18.000;0.000;127.08;127.08;0.00;0;01/03/2025
2949;UNHAS DA FUSAO 1502;AE044040;178.000;178.000;0.000;864.28;864.28;0.00;0;01/03/2025
2989;UNIDADE LAMPADA DE APAGAMENTO;A1515276;1.000;1.000;0.000;150.95;150.95;0.00;0;01/03/2025
2994;VASSOURA DE NYLON ESTRELA;1136;1.000;1.000;0.000;4.69;4.69;0.00;0;01/03/2025
3024;MASTER 5303/04 CPMT8 VT-ISS MR RICOH;893950;137.000;137.000;0.000;15157.09;15157.09;0.00;0;01/03/2025
3035;ROLO DE ENTINTAMENTO 5303;C2174519;2.000;2.000;0.000;145.21;145.21;0.00;0;01/03/2025
3038;TONER 2622S;11221;41.000;41.000;0.000;2449.20;2449.20;0.00;0;01/03/2025
3054;REVELADOR CD55 TP1 2627/2727/32/40/60;12271;3.000;3.000;0.000;299.32;299.32;0.00;0;01/03/2025
3056;CILINDRO OPC 1502/1312/DSM615/618 MARCA RICOH;B0399510;97.000;97.000;0.000;18521.39;18521.39;0.00;0;01/03/2025
