codigo,nome,quantidade
2478,Nome não encontrado,0.0
248,Nome não encontrado,0.0
2480,Nome não encontrado,0.0
2482,Nome não encontrado,0.0
25,Nome não encontrado,2.0
2500,Nome não encontrado,1.0
2514,Nome não encontrado,0.0
2518,Nome não encontrado,6.0
2520,Nome não encontrado,0.0
2525,Nome não encontrado,1.0
2526,Nome não encontrado,0.0
2541,Nome não encontrado,0.0
2550,Nome não encontrado,3.0
2553,Nome não encontrado,0.0
2564,Nome não encontrado,1.0
2574,Nome não encontrado,1.0
2583,Nome não encontrado,0.0
2634,Nome não encontrado,1.0
2636,Nome não encontrado,0.0
2639,Nome não encontrado,1.0
264,Nome não encontrado,8.0
2665,Nome não encontrado,0.0
2669,Nome não encontrado,0.0
268,Nome não encontrado,1.0
2681,Nome não encontrado,10.0
2687,Nome não encontrado,9.0
269,Nome não encontrado,13.0
2693,Nome não encontrado,3.0
2713,Nome não encontrado,0.0
272,Nome não encontrado,0.0
273,Nome não encontrado,4.0
2749,Nome não encontrado,1.0
2752,Nome não encontrado,0.0
2753,Nome não encontrado,0.0
2754,Nome não encontrado,1.0
2755,Nome não encontrado,3.0
280,Nome não encontrado,0.0
2805,Nome não encontrado,0.0
2806,Nome não encontrado,0.0
2808,Nome não encontrado,0.0
2813,Nome não encontrado,1.0
2814,Nome não encontrado,0.0
2817,Nome não encontrado,0.0
2818,Nome não encontrado,0.0
2823,Nome não encontrado,4.0
2830,Nome não encontrado,0.0
2832,Nome não encontrado,0.0
2833,Nome não encontrado,0.0
2835,Nome não encontrado,3.0
2842,Nome não encontrado,4.0
2843,Nome não encontrado,0.0
2847,Nome não encontrado,0.0
2850,Nome não encontrado,0.0
2855,Nome não encontrado,65.0
2856,Nome não encontrado,0.0
2857,Nome não encontrado,615.0
2863,Nome não encontrado,0.0
2867,Nome não encontrado,70.0
2877,Nome não encontrado,0.0
2882,Nome não encontrado,2.0
2884,Nome não encontrado,0.0
2886,Nome não encontrado,0.0
293,Nome não encontrado,0.0
2930,Nome não encontrado,0.0
2932,Nome não encontrado,0.0
2935,Nome não encontrado,6.0
2937,Nome não encontrado,0.0
2939,Nome não encontrado,1.0
2943,Nome não encontrado,0.0
2946,Nome não encontrado,0.0
2947,Nome não encontrado,0.0
2949,Nome não encontrado,6.0
2952,Nome não encontrado,0.0
2954,Nome não encontrado,0.0
2960,Nome não encontrado,1.0
2970,Nome não encontrado,0.0
298,Nome não encontrado,10.0
