codigo;referencia;nome;grupo;estoque_31_12_2024;estoque_atual;diferenca_quantidade;preco_custo;valor_total_31_12_2024;valor_total_atual;diferenca_valor;movimentacoes_revertidas;saldos_redefinidos
4414;CHRCSP3500;CHIP RICOH SP 3500 3510 6.4K;PEÇAS;0,0;0,0;0,0;3,95;0,0;0,0;0,0;0;0
4415;CLRCSP3510;CILINDRO RICOH SP 3510 S ENGRENAGENS;SUPRIMENTOS;0,0;0,0;0,0;12,9;0,0;0,0;0,0;0;0
4416;INRCSP3510;TONER RICOH SP 3510 150GRS;SUPRIMENTOS;0,0;0,0;0,0;14,5;0,0;0,0;0,0;0;0
4417;243234R;DUPLICADOR DIGITAL MOD.DD4450-MARCA RICOH BRASIL;DUPLICADORES;0,0;0,0;0,0;10271,83;0,0;0,0;0,0;0;0
4418;AW110078;THERMOSTATO 146C MPC2030;PEÇAS;1,0;1,0;0,0;25,93;25,93;25,93;0,0;0;0
4422;AE020164;ROLO DE PRESSÃO-DSM415/PF/DSM615/618/MP201SPF/F/13;PEÇAS;0,0;0,0;0,0;198,0;0,0;0,0;0,0;0;0
4423;D1054050;CONJUNTO DA CORREIA DA FUSÃO MPC2051;PEÇAS;0,0;0,0;0,0;3834,98;0,0;0,0;0,0;0;0
4424;AE020207;ROLO PRESSAO MP301SPF;PEÇAS;0,0;0,0;0,0;289,0;0,0;0,0;0,0;0;0
4425;D0392645;PLACA GUIA MPC2030;PEÇAS;1,0;1,0;0,0;18,8;18,8;18,8;0,0;0;0
4426;415809R;TAMPA DE ORIGINAIS TIPO 3352;PEÇAS;0,0;0,0;0,0;168,33;0,0;0,0;0,0;0;0
4427;25005R;GRAMPO TIPO K - SR790/850/860/960(3X5K);PEÇAS;1,0;1,0;0,0;392,0;392,0;392,0;0,0;2;0
4428;G0884553;UNIDADE DE FUSAO - P7325;PEÇAS;0,0;0,0;0,0;961,24;0,0;0,0;0,0;0;0
4430;AE011131;ROLO FUSOR MP301.;PEÇAS;0,0;0,0;0,0;294,0;0,0;0,0;0,0;0;0
4431;AE030088;ROLAMENTO DO ROLO FUSOR MP301;PEÇAS;0,0;0,0;0,0;33,32;0,0;0,0;0,0;0;0
4432;MP8001U;MAQ COPIADORA MR RICOH MOD AFICIO MP8001-USADA;COPIADORAS;0,0;0,0;0,0;9482,9;0,0;0,0;0,0;0;0
4433;C2672819;SEPARAÇÃO - 6123/DX 3343.;PEÇAS;0,0;0,0;0,0;127,56;0,0;0,0;0,0;0;0
4434;D0396048;UNIDADE DE MOVIMENTAÇÃO MPC2030;PEÇAS;0,0;0,0;0,0;88,9;0,0;0,0;0,0;0;0
4435;;Produto 4435;Sem Grupo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4436;D0391055;TRAVA DA FUSAO DA MPC2030;PEÇAS;0,0;0,0;0,0;3,51;0,0;0,0;0,0;0;0
4438;D0394153;GUIA DA FUSAO MPC2030;PEÇAS;0,0;0,0;0,0;3,51;0,0;0,0;0,0;0;0
4439;B0392939;GUIA TRAZ TAMPA MPC2030;PEÇAS;0,0;0,0;0,0;3,51;0,0;0,0;0,0;0;0
444;73970020;CILINDRO DE TESTES P/2301;Sem Grupo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4440;B2469510;CILINDRO DSM755/765/775/P7675/6000/7000.;SUPRIMENTOS;1,0;1,0;0,0;1280,28;1280,28;1280,28;0,0;2;0
4441;AD041126;LAMINA DE LIMP ROLO DE TRANF-6002/7502/MP60001/800;PEÇAS;0,0;0,0;0,0;157,99;0,0;0,0;0,0;0;0
4442;AE045068;ROLO DE LIMPEZA MP9001;PEÇAS;1,0;1,0;0,0;468,4;468,4;468,4;0,0;0;0
4443;B0702364;FIO DA CORONA DE CARGA - 8502;PEÇAS;1,0;1,0;0,0;2,7;2,7;2,7;0,0;0;0
4444;AE030074;ROLAMENTO  ROLO DE PRESSAO. MPC4000/5000/MPC300/4;PEÇAS;0,0;0,0;0,0;62,0;0,0;0,0;0,0;0;0
4445;B7891241;MOLA MPC2051;PEÇAS;0,0;0,0;0,0;7,23;0,0;0,0;0,0;0;0
4447;CHIP3510SF;CHIP3510SF 6k;PEÇAS;0,0;0,0;0,0;18,84;0,0;0,0;0,0;0;0
4448;M0261746;DOBRADICA ESQUERDA SP5200S.;PEÇAS;1,0;1,0;0,0;51,47;51,47;51,47;0,0;0;0
4449;S9119400426;SIST. MULT.MONOCROMATICO SHINKA SP5210SF U-;COPIADORAS;0,0;0,0;0,0;4602,7;0,0;0,0;0,0;0;0
445;46329211;CILINDRO DE TESTES P/2318;PEÇAS;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4450;42402R;TINTA AZUL TIPO VI;SUPRIMENTOS;0,0;0,0;0,0;40,0;0,0;0,0;0,0;0;0
4451;AE030059;ROLAMENTO DO ROLO DE PRESSAO - DSC445;PEÇAS;0,0;0,0;0,0;36,5;0,0;0,0;0,0;0;0
4452;AE030078;ROLAMENTO - MPC2050;PEÇAS;0,0;0,0;0,0;49,1;0,0;0,0;0,0;0;0
4453;AW100123;TERMISTOR - MPC2550;PEÇAS;0,0;0,0;0,0;54,78;0,0;0,0;0,0;0;0
4454;D1054151;ALAVANCA DA LIBERACAO DE PRESSAO MPC2051;PEÇAS;3,0;3,0;0,0;6,4;19,2;19,2;0,0;0;0
4455;D1054161;ALAVANCA DE CONTROLE DE PRESSAO MPC2550;PEÇAS;3,0;3,0;0,0;6,4;19,2;19,2;0,0;0;0
4456;D1054584;ALAVANCA MPC2550;PEÇAS;2,0;2,0;0,0;10,29;20,58;20,58;0,0;0;0
4459;AA080176;BUCHA - P7575;PEÇAS;0,0;0,0;0,0;14,07;0,0;0,0;0,0;0;0
446;CPDRT4;CILINDRO P\DUPLICADOR 5315;PEÇAS;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4460;B0652400;DUTO DE TONER RECICLADO - P7575;PEÇAS;0,0;0,0;0,0;16,65;0,0;0,0;0,0;0;0
4461;AW110075;THERMOSTATO DO ROLO DE AQUECIMENTO - MPC2030/2050;PEÇAS;0,0;0,0;0,0;71,38;0,0;0,0;0,0;0;0
4462;61025R;CARTUCHO DE TINTA DE IMPRESSAO PRETO GC21;SUPRIMENTOS;1,0;1,0;0,0;105,47;105,47;105,47;0,0;0;0
4466;SUNDONW;MOTOCICLETA MAX SE 125CC SUNDOWN PRETA;OUTROS;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0;0
4467;70017775;RODA ROLETE CAPTACAO PC010/RC AF700 PERFORMANCE;PEÇAS;10,0;10,0;0,0;8,67;86,7;86,7;0,0;0;0
4468;70027458;ROLO DE PRESSAO INFERIOR AF.2060 PERFORMANCE;PEÇAS;1,0;1,0;0,0;119,02;119,02;119,02;0,0;0;0
4469;70027526;ROLO FUSOR SUPERIOR/RC AF.2060 PERFORMANCE;PEÇAS;0,0;0,0;0,0;131,04;0,0;0,0;0,0;0;0
447;C2312415;CLAMPER;Sem Grupo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4470;70037353;FOTORRECEPTOR OPC/RC MP 5500/PERFORMANCE;PEÇAS;0,0;0,0;0,0;600,9;0,0;0,0;0,0;0;0
4471;S9028900093;SIST.MULT.MONO.SHINKA SP5200S - TARCISIO;LOCACAO;1,0;1,0;0,0;4348,91;4348,91;4348,91;0,0;0;0
4472;AB012069;ENGRENAGEM MPC 2051;PEÇAS;1,0;1,0;0,0;39,29;39,29;39,29;0,0;0;0
4473;AB012070;ENGRENAGEM MPC 2051;PEÇAS;26,0;26,0;0,0;18,84;489,84;489,84;0,0;0;0
