codigo,referencia,nome,estoque_31_12_2024,estoque_atual,diferenca_quantidade,preco_custo,valor_total_31_12_2024,valor_total_atual,diferenca_valor,movimentacoes_revertidas,saldos_redefinidos
816,52012569,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
817,72107240,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
818,29814310,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
819,72118281,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
82,A2042860,ARMAÇAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
820,C2312144,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
821,C2174582,ENGRENAGEM 5303,0.0,0.0,0.0,53.13,0.0,0.0,0.0,0,0
822,C2242326,ENGRENAGEM 5327,0.0,0.0,0.0,68.17,0.0,0.0,0.0,0,0
823,AB013918,ENGRENAGEM,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0
824,AB013444,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
825,AB013911,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
826,60114090,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
827,52012572,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
828,AB017166,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
829,C2312460,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
83,45928111,ARMADURA 2201/8112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
830,AB011379,ENGRENAGEM,3.0,3.0,0.0,1.52,4.56,4.56,0.0,0,0
831,AB017377,ENGRENAGEM,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0,0
832,60122220,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
